property_id,suburb,property_type,bedrooms,bathrooms,parking_spaces,land_size_sqm,floor_area_sqm,distance_to_cbd_km,distance_to_station_km,distance_to_school_km,year_built,renovated,has_pool,days_on_market,sale_date,agent_description,sale_price
1,Parramatta,Townhouse,2,2.0,1.0,329.9,217.9,22.9,0.26,0.33,1971,0,0,103,2025-10-08,"Townhouse in Parramatta with 2 bedrooms and 2 bathrooms. Features north facing living area, close to shops and cafes and built in wardrobes.",982000.0
2,Parramatta,Townhouse,2,2.0,1.0,183.9,137.0,23.2,0.7,0.99,2006,1,0,103,2025-10-19,"Townhouse in Parramatta with 2 bedrooms and 2 bathrooms. Features great natural light, high ceilings and leafy quiet street.",629000.0
3,Mosman,Unit,1,1.0,1.0,,90.3,7.3,1.95,0.58,1953,0,0,14,2025-03-03,"Unit in Mosman with 1 bedrooms and 1 bathrooms. Features recently painted, double garage and easy walk to the station.",737000.0
4,Parramatta,House,2,1.0,1.0,634.0,243.8,21.4,0.4,1.16,2001,1,0,76,2024-11-27,"House in Parramatta with 2 bedrooms and 1 bathrooms. Features built in wardrobes, recently painted and great natural light.",2196000.0
5,Mosman,House,5,3.0,1.0,475.0,192.6,8.6,1.09,0.58,1973,1,0,14,2024-10-29,"House in Mosman with 5 bedrooms and 3 bathrooms. Features low maintenance garden, double garage and leafy quiet street.",3220000.0
6,Parramatta,House,3,3.0,2.0,366.7,129.0,20.6,0.62,0.75,2014,1,0,15,2024-10-12,"House in Parramatta with 3 bedrooms and 3 bathrooms. Features north facing living area, low maintenance garden and great natural light.",1167000.0
7,Parramatta,House,5,3.0,1.0,676.4,193.3,23.2,0.56,1.62,1971,0,0,107,2025-11-29,"House in Parramatta with 5 bedrooms and 3 bathrooms. Features easy walk to the station, high ceilings and leafy quiet street.",2340000.0
8,Mosman,House,3,2.0,2.0,602.8,268.5,2.7,1.09,0.61,1956,0,0,46,2025-01-17,"House in Mosman with 3 bedrooms and 2 bathrooms. Features high ceilings, easy walk to the station and open plan living.",3746000.0
9,Parramatta,Unit,2,2.0,0.0,,88.6,21.9,1.07,0.99,1956,1,0,75,2026-08-01,"Unit in Parramatta with 2 bedrooms and 2 bathrooms. Features great natural light, low maintenance garden and leafy quiet street.",589000.0
10,Liverpool,Unit,1,1.0,1.0,,65.4,33.9,1.57,0.67,2014,1,0,77,2025-06-10,"Unit in Liverpool with 1 bedrooms and 1 bathrooms. Features easy walk to the station, leafy quiet street and low maintenance garden.",382000.0
